Name,Fueltype,Technology,Set,Country,Capacity,Efficiency,DateIn,DateRetrofit,DateOut,lat,lon,Duration,Volume_Mm3,DamHeight_m,StorageCapacity_MWh,EIC,projectID
Sichuan Yanting power station,Bioenergy,Steam Turbine,PP,CN,30.0,0.47,2019,,,31.1759,105.3963,,,,,,GEM_biomass_570
Sichuan Zhongjiang power station,Bioenergy,Steam Turbine,PP,CN,30.0,0.47,2020,,,30.8578,104.6161,,,,,,GEM_biomass_571
Sichuan Zigong power station,Bioenergy,Steam Turbine,PP,CN,35.0,0.47,2022,,,29.1896,104.8828,,,,,,GEM_biomass_572
Taiyang Mill power station,Bioenergy,Steam Turbine,PP,CN,50.0,0.47,2015,,,35.5453,116.8021,,,,,,GEM_biomass_573
Tianjin Beichen power station,Bioenergy,Steam Turbine,PP,CN,40.0,0.47,2020,,,39.2419,117.0381,,,,,,GEM_biomass_574
Tianjin Beichen power station,Bioenergy,Steam Turbine,PP,CN,40.0,0.47,2020,,,39.2419,117.0381,,,,,,GEM_biomass_575
Tianjin Dongli District power station,Bioenergy,Steam Turbine,PP,CN,40.0,0.47,2021,,,39.2237,117.3308,,,,,,GEM_biomass_576
Tianjin Dongli District power station,Bioenergy,Steam Turbine,PP,CN,40.0,0.47,2021,,,39.2237,117.3308,,,,,,GEM_biomass_577
Tianjin Xiqing power station,Bioenergy,Steam Turbine,PP,CN,30.0,0.47,2020,,,38.8524,117.3286,,,,,,GEM_biomass_578
Tianjin Xiqing power station,Bioenergy,Steam Turbine,PP,CN,30.0,0.47,2020,,,38.8524,117.3286,,,,,,GEM_biomass_579
Xinjiang Hutubi power staion,Bioenergy,Steam Turbine,PP,CN,30.0,0.47,2020,,,44.5445,86.689,,,,,,GEM_biomass_580
Xinjiang Urumqi Jinghuan power station,Bioenergy,Steam Turbine,PP,CN,36.0,0.47,2020,,,44.029,87.7874,,,,,,GEM_biomass_581
Xinjiang Urumqi Jinghuan power station,Bioenergy,Steam Turbine,PP,CN,36.0,0.47,2020,,,44.029,87.7874,,,,,,GEM_biomass_582
Yunnan Qujing power station,Bioenergy,Steam Turbine,PP,CN,35.0,0.47,2023,,,25.5879,103.8518,,,,,,GEM_biomass_583
Zhangpu Chihu Industrial Park Cogen power station,Bioenergy,Steam Turbine,PP,CN,150.0,0.47,2015,,,24.0648,117.8901,,,,,,GEM_biomass_584
Zhangpu Chihu Industrial Park Cogen power station,Bioenergy,Steam Turbine,PP,CN,150.0,0.47,2015,,,24.0648,117.8901,,,,,,GEM_biomass_585
Zhejiang Cixi power station,Bioenergy,Steam Turbine,PP,CN,40.0,0.47,2023,,,30.152098,121.530087,,,,,,GEM_biomass_586
Zhejiang Dongyang power station,Bioenergy,Steam Turbine,PP,CN,30.0,0.47,2021,,,29.2287,120.3039,,,,,,GEM_biomass_587
Zhejiang East Wenling power station,Bioenergy,Steam Turbine,PP,CN,30.0,0.47,2019,,,28.4684,121.5971,,,,,,GEM_biomass_588
Zhejiang Fuyang power station,Bioenergy,Steam Turbine,PP,CN,45.0,0.47,2021,,,29.8779,119.7117,,,,,,GEM_biomass_589
Zhejiang Haining power station,Bioenergy,Steam Turbine,PP,CN,35.0,0.47,2020,,,30.3129,120.8211,,,,,,GEM_biomass_590
Zhejiang Haiyan power station,Bioenergy,Steam Turbine,PP,CN,50.0,0.47,2021,,,30.5912,121.0353,,,,,,GEM_biomass_591
Zhejiang Jiaxing power station,Bioenergy,Steam Turbine,PP,CN,50.0,0.47,2010,,,30.8426,120.7184,,,,,,GEM_biomass_592
Zhejiang Jinhua Jinyi New Area power station,Bioenergy,Steam Turbine,PP,CN,35.0,0.47,2022,,,29.1474,119.8354,,,,,,GEM_biomass_593
Zhejiang Jinhua power station,Bioenergy,Steam Turbine,PP,CN,35.0,0.47,2020,,,29.0022,119.7036,,,,,,GEM_biomass_594
Zhejiang Jinhua power station,Bioenergy,Steam Turbine,PP,CN,35.0,0.47,2015,,,29.0022,119.7036,,,,,,GEM_biomass_595
Zhejiang Linjiang power station,Bioenergy,Steam Turbine,PP,CN,45.0,0.47,2020,,,30.2477,120.6661,,,,,,GEM_biomass_596
Zhejiang Linjiang power station,Bioenergy,Steam Turbine,PP,CN,45.0,0.47,2020,,,30.2477,120.6661,,,,,,GEM_biomass_597
Zhejiang Linjiang power station,Bioenergy,Steam Turbine,PP,CN,45.0,0.47,2020,,,30.2477,120.6661,,,,,,GEM_biomass_598
Zhejiang Longquan power station,Bioenergy,Steam Turbine,PP,CN,30.0,0.47,2014,,,27.8802,118.9726,,,,,,GEM_biomass_599
Zhejiang Ningbo Fenghua District power station,Bioenergy,Steam Turbine,PP,CN,30.0,0.47,2021,,,29.695499,121.56168,,,,,,GEM_biomass_600
Zhejiang Ningbo Haishu District power station,Bioenergy,Steam Turbine,PP,CN,50.0,0.47,2024,,,29.752757,121.387076,,,,,,GEM_biomass_601
Zhejiang Quzhou power station,Bioenergy,Steam Turbine,PP,CN,40.0,0.47,2019,,,28.8881,118.861,,,,,,GEM_biomass_602
Zhejiang Shaoxing power station,Bioenergy,Steam Turbine,PP,CN,45.0,0.47,2021,,,30.2591,120.7017,,,,,,GEM_biomass_603
Zhejiang Taizhou Huangyan power station,Bioenergy,Steam Turbine,PP,CN,35.0,0.47,2021,,,28.685888,121.259441,,,,,,GEM_biomass_604
Zhejiang Yuhang Jiufeng power station,Bioenergy,Steam Turbine,PP,CN,35.0,0.47,2017,,,30.422,120.2896,,,,,,GEM_biomass_605
Zhejiang Yuhang Jiufeng power station,Bioenergy,Steam Turbine,PP,CN,35.0,0.47,2017,,,30.2372,119.8661,,,,,,GEM_biomass_606
